Hhid,loyalty,preferred_store_format,lifestyle,gender
305631,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
305781,No longer Shopping,Large Stores,Low Affluent Customers,F
305821,Occasional Shoppers,Others,Low Affluent Customers,F
306561,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,M
307911,No longer Shopping,Large Stores,Very Affluent Customers,F
309621,Occasional Shoppers,Small Stores,Low Affluent Customers,F
310941,No longer Shopping,Mom and Pop Stores,Middle Class,X
311341,No longer Shopping,Large Stores,Low Affluent Customers,F
311531,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
311911,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
312991,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
315671,No longer Shopping,Others,NA,M
315711,Occasional Shoppers,Small Stores,Low Affluent Customers,F
315861,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
315901,Occasional Shoppers,Large Stores,Middle Class,M
316071,Occasional Shoppers,Small Stores,Low Affluent Customers,F
316261,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
316641,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
316791,Occasional Shoppers,Large Stores,Middle Class,F
316981,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
318731,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
320981,Occasional Shoppers,Large Stores,Very Affluent Customers,F
321231,Very Frequent Shoppers,Small Stores,Very Affluent Customers,F
322351,Occasional Shoppers,Large Stores,Low Affluent Customers,F
322541,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
323091,Occasional Shoppers,Very Large Stores,Middle Class,F
324591,Very Frequent Shoppers,Large Stores,Middle Class,F
326151,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
326491,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
326911,Occasional Shoppers,Very Large Stores,Middle Class,F
327081,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
327271,Very Frequent Shoppers,Others,Middle Class,M
327501,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
327841,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
328961,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
329021,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
330001,Occasional Shoppers,Small Stores,Middle Class,X
331081,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,M
331651,Very Frequent Shoppers,Large Stores,Middle Class,F
332391,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
332581,Occasional Shoppers,Others,Middle Class,M
333931,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
334291,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
334481,Occasional Shoppers,Large Stores,Low Affluent Customers,X
334671,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
336191,No longer Shopping,Mom and Pop Stores,Middle Class,M
337011,Occasional Shoppers,Large Stores,Low Affluent Customers,F
339101,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
339441,Very Frequent Shoppers,Very Large Stores,Middle Class,F
339591,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
339971,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
340381,Very Frequent Shoppers,Very Large Stores,Middle Class,F
341351,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
341881,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
342851,Very Frequent Shoppers,Very Large Stores,Middle Class,F
343631,Occasional Shoppers,Large Stores,Middle Class,F
344221,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
344561,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
344941,Very Frequent Shoppers,Large Stores,Very Affluent Customers,X
346651,Very Frequent Shoppers,Large Stores,Middle Class,F
347621,Occasional Shoppers,Very Large Stores,Very Affluent Customers,X
349481,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
351771,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
352361,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
353331,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
353521,Very Frequent Shoppers,Large Stores,Middle Class,M
353901,Very Frequent Shoppers,Very Large Stores,Middle Class,F
356541,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
356881,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
357091,No longer Shopping,Large Stores,Low Affluent Customers,F
357851,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
358971,Occasional Shoppers,Large Stores,Low Affluent Customers,X
359941,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
360011,Very Frequent Shoppers,Very Large Stores,Middle Class,F
360691,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
360731,Occasional Shoppers,Others,Middle Class,M
362251,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
363371,Occasional Shoppers,Large Stores,Very Affluent Customers,F
364151,Occasional Shoppers,Large Stores,Very Affluent Customers,F
364491,Very Frequent Shoppers,Large Stores,Very Affluent Customers,X
365121,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
365311,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
365501,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
365991,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
366391,No longer Shopping,Large Stores,Middle Class,F
366431,Lapsing Shoppers,Very Large Stores,Middle Class,F
367401,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
368481,No longer Shopping,Large Stores,Middle Class,F
369641,Occasional Shoppers,Others,Very Affluent Customers,M
370051,Occasional Shoppers,Large Stores,Middle Class,F
370241,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
370391,Occasional Shoppers,Small Stores,Very Affluent Customers,F
370771,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
371401,Occasional Shoppers,Others,Middle Class,F
372291,Occasional Shoppers,Large Stores,Low Affluent Customers,X
372481,Occasional Shoppers,Large Stores,Low Affluent Customers,F
372901,Occasional Shoppers,Small Stores,Middle Class,M
373071,No longer Shopping,Large Stores,Low Affluent Customers,M
373831,Occasional Shoppers,Very Large Stores,Middle Class,M
374381,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
374611,Occasional Shoppers,Large Stores,Low Affluent Customers,M
374761,Very Frequent Shoppers,Large Stores,Middle Class,F
374801,Very Frequent Shoppers,Large Stores,Middle Class,M
376091,Occasional Shoppers,Large Stores,Middle Class,F
377781,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
377821,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
379151,No longer Shopping,Large Stores,Middle Class,F
379341,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
379721,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,M
379911,Very Frequent Shoppers,Large Stores,Middle Class,F
380851,Lapsing Shoppers,Small Stores,NA,F
381781,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
382031,No longer Shopping,Large Stores,Very Affluent Customers,F
383871,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
385391,Occasional Shoppers,Large Stores,Middle Class,X
386021,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
388111,Occasional Shoppers,Large Stores,Low Affluent Customers,X
388791,Lapsing Shoppers,Others,Very Affluent Customers,M
389951,Occasional Shoppers,Large Stores,Low Affluent Customers,M
390741,No longer Shopping,Mom and Pop Stores,Low Affluent Customers,M
391291,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
391331,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
391481,No longer Shopping,Others,Low Affluent Customers,F
391861,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
392071,Occasional Shoppers,Very Large Stores,Middle Class,X
392111,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
392261,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
392301,Very Frequent Shoppers,Large Stores,Middle Class,F
396821,Very Frequent Shoppers,Very Large Stores,Middle Class,M
397411,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
397561,Occasional Shoppers,Others,Middle Class,F
397751,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
399311,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
400921,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
401321,Occasional Shoppers,Small Stores,Very Affluent Customers,F
403371,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
403411,Very Frequent Shoppers,Large Stores,Middle Class,F
403561,Very Frequent Shoppers,Large Stores,Middle Class,M
406051,Very Frequent Shoppers,Very Large Stores,Middle Class,F
407551,Occasional Shoppers,Very Large Stores,Middle Class,M
407891,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
408481,Occasional Shoppers,Large Stores,Middle Class,F
408671,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,M
408901,Occasional Shoppers,Small Stores,Middle Class,F
409791,Occasional Shoppers,Others,Middle Class,F
412521,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,M
413071,Very Frequent Shoppers,Large Stores,Middle Class,M
416281,Occasional Shoppers,Small Stores,Middle Class,F
416511,Very Frequent Shoppers,Large Stores,Middle Class,X
416701,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
417591,Occasional Shoppers,Very Large Stores,Middle Class,F
418181,Occasional Shoppers,Small Stores,Very Affluent Customers,F
418221,Occasional Shoppers,Large Stores,Very Affluent Customers,F
418561,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
420091,Very Frequent Shoppers,Large Stores,Middle Class,M
420321,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
420511,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
421441,Occasional Shoppers,Very Large Stores,Middle Class,F
421591,Occasional Shoppers,Very Large Stores,Very Affluent Customers,M
421821,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
422031,Occasional Shoppers,Large Stores,Very Affluent Customers,F
422601,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
424081,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
424461,Occasional Shoppers,Large Stores,Low Affluent Customers,F
425241,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
425811,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
426401,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,X
428111,Very Frequent Shoppers,Large Stores,Middle Class,F
428451,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,M
429801,Very Frequent Shoppers,Very Large Stores,Middle Class,F
430211,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
430931,Occasional Shoppers,Very Large Stores,Very Affluent Customers,X
431711,Occasional Shoppers,Large Stores,Middle Class,M
432111,Very Frequent Shoppers,Very Large Stores,Middle Class,F
432301,Very Frequent Shoppers,Very Large Stores,Middle Class,X
432831,Occasional Shoppers,Very Large Stores,Middle Class,F
433381,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
433611,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
433801,Lapsing Shoppers,Others,NA,X
436061,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
436101,Lapsing Shoppers,Others,Very Affluent Customers,F
436631,Very Frequent Shoppers,Very Large Stores,Middle Class,F
436971,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
437221,No longer Shopping,Small Stores,Low Affluent Customers,F
437601,Occasional Shoppers,Large Stores,Very Affluent Customers,M
438001,No longer Shopping,Others,Low Affluent Customers,F
438341,No longer Shopping,Large Stores,Low Affluent Customers,F
438721,Very Frequent Shoppers,Large Stores,Middle Class,F
439311,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
439461,Occasional Shoppers,Others,Very Affluent Customers,M
440441,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
441371,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
441751,No longer Shopping,Mom and Pop Stores,NA,F
443081,Very Frequent Shoppers,Large Stores,Middle Class,F
443271,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
443651,Very Frequent Shoppers,Large Stores,Middle Class,F
444581,Lapsing Shoppers,Others,Middle Class,F
444961,No longer Shopping,Very Large Stores,Very Affluent Customers,F
445211,Occasional Shoppers,Large Stores,Middle Class,X
445891,Occasional Shoppers,Large Stores,Low Affluent Customers,F
447301,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,X
447981,Very Frequent Shoppers,Mom and Pop Stores,Very Affluent Customers,F
449691,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
450521,Occasional Shoppers,Very Large Stores,Middle Class,M
451641,Occasional Shoppers,Large Stores,Low Affluent Customers,F
452231,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
452611,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
452951,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
453161,Occasional Shoppers,Very Large Stores,Middle Class,X
453881,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
454131,Lapsing Shoppers,Very Large Stores,Low Affluent Customers,F
454701,Occasional Shoppers,Large Stores,Low Affluent Customers,M
454851,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
455061,Occasional Shoppers,Very Large Stores,Middle Class,F
457151,Occasional Shoppers,Large Stores,Very Affluent Customers,M
459621,Occasional Shoppers,Very Large Stores,Middle Class,X
460031,Very Frequent Shoppers,Large Stores,Middle Class,F
460371,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
460411,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
460601,Very Frequent Shoppers,Large Stores,Middle Class,F
461491,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
461871,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
462121,Very Frequent Shoppers,Large Stores,Middle Class,M
462841,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
462991,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
463431,Occasional Shoppers,Large Stores,Middle Class,F
465521,No longer Shopping,NA,NA,NA
466641,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
466981,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
467231,Very Frequent Shoppers,Very Large Stores,Middle Class,X
468161,Occasional Shoppers,Small Stores,Low Affluent Customers,F
468921,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
469131,Occasional Shoppers,Others,Middle Class,F
469281,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
470981,Very Frequent Shoppers,Large Stores,Low Affluent Customers,X
471041,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
471381,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
471571,Occasional Shoppers,Large Stores,Low Affluent Customers,F
472201,Occasional Shoppers,Large Stores,Very Affluent Customers,M
472921,Occasional Shoppers,Large Stores,Middle Class,F
473091,No longer Shopping,Large Stores,Very Affluent Customers,F
473281,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
473701,Lapsing Shoppers,Mom and Pop Stores,Low Affluent Customers,F
475181,Occasional Shoppers,Large Stores,Very Affluent Customers,F
476531,Occasional Shoppers,Large Stores,Middle Class,F
